RecordID_1	RecordID_2	Record1_Len	Record2_Len	MaxJaccardContain
group_968	group_1019	1056	1029	0.01001001001001001
tar	group_5843	1731	1884	0.009994121105232217
group_1975	group_1981	732	732	0.009971509971509971
group_1973	group_1669	732	828	0.009971509971509971
group_1652	group_1566	840	876	0.009876543209876543
group_429	group_1945	1506	741	0.009845288326300985
group_3116	group_3275	300	234	0.00980392156862745
group_4491	group_3673	1878	1887	0.00974025974025974
group_4464	aceF	1782	1704	0.009569377990430622
group_1140	group_1204	987	975	0.009523809523809525
group_6502	group_427	1506	1506	0.009485094850948509
ehuA	group_4247	771	1119	0.009446693657219974
ttdA	group_400	1524	1557	0.009370816599732263
phnK	group_6610	777	777	0.009370816599732263
group_6471	group_6517	1524	1578	0.009370816599732263
group_13	group_1811	5991	780	0.009333333333333334
oppF~~~dppD	group_4041	1002	1752	0.009259259259259259
group_6870	group_2675	738	462	0.009259259259259259
group_4501	group_5843	1884	1884	0.009169363538295576
urtB	group_3791	903	1632	0.009163802978235968
group_4501	group_7074	1884	468	0.0091324200913242
group_373	group_387	1584	1572	0.009079118028534372
group_2081	group_1490	693	897	0.00904977375565611
group_1001	group_3859	1038	1044	0.008928571428571428
group_5272	group_4714	1629	1599	0.008922880815806247
tar	group_6160	1731	1623	0.008788449466415568
rfbG	group_4164	1071	1119	0.008645533141210375
ssuC	group_1563	843	876	0.008610086100861008
group_118	group_133	2427	2382	0.008503401360544218
pbpC	group_4391	2268	5229	0.008489722966934763
group_1938	group_1952	741	738	0.00847457627118644
group_6334	group_1938	762	741	0.008438818565400843
group_1941	group_276	741	1755	0.008438818565400843
group_1899	group_1943	756	741	0.008438818565400843
group_7	group_5	8148	8913	0.008376447400837645
ompC	group_4143	1107	1182	0.008356545961002786
group_3447	group_2481	150	534	0.008333333333333333
ydgA	group_459	1473	1473	0.008316008316008316
ehuA	group_5450	771	753	0.008298755186721992
group_1899	group_5678	756	1959	0.008264462809917356
group_1748	group_1906	798	756	0.008264462809917356
group_6640	group_4145	636	639	0.00825082508250825
tar	group_4283	1731	1731	0.00823045267489712
group_4491	group_4316	1878	1854	0.008223684210526315
group_1842	group_1845	771	771	0.008097165991902834
group_1749	group_3887	798	774	0.008064516129032258
group_1395	group_1406	915	915	0.007909604519774011
group_5812	group_681	930	1233	0.0077777777777777776
nagZ	uvrC	1059	1830	0.007774538386783284
group_276	group_763	1755	1191	0.007772020725388601
group_2454	group_3992	546	573	0.007751937984496124
tolA	group_6207	1086	1065	0.007729468599033816
group_3991	group_1722	2091	807	0.007722007722007722
bdlA	group_5272	1455	1629	0.0077192982456140355
group_191	cirA	2112	2136	0.007684918347742555
eAL	group_3851	1857	1740	0.00760233918128655
ywiE	gltB2	1485	1770	0.007560137457044674
group_3903	group_1620	825	855	0.007547169811320755
sfcA	group_141	2298	2295	0.0075055187637969095
group_5111	group_5646	1239	1230	0.0075
group_2061	group_2052	699	702	0.007473841554559043
group_1226	group_1135	969	990	0.007454739084132056
group_1226	group_1036	969	1023	0.007454739084132056
group_333	group_4283	1647	1731	0.0074211502782931356
group_1058	group_1204	1014	975	0.007407407407407408
ligW	group_416	1518	1527	0.00739247311827957
group_5684	ybhN	996	981	0.007360672975814932
group_1150	group_4041	984	1752	0.007337526205450734
group_1135	group_6220	990	1035	0.007291666666666667
group_4849	group_6440	735	726	0.007183908045977011
